RandomForest,GradientBoosting,Bagging,SVR
"{'n_estimators': 100, 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.011193618694802352, 'max_depth': 45, 'min_samples_split': 5, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.544963802107875, 'max_features': 0.8299409829290972}","{'C': 0.10182902472673644, 'epsilon': 0.9993365373280044, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 35, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.010042255161884972, 'max_depth': 27, 'min_samples_split': 3, 'min_samples_leaf': 4}","{'n_estimators': 10, 'max_samples': 0.5017977438308139, 'max_features': 0.6725864852661948}","{'C': 0.10068872479176592, 'epsilon': 0.9995740220842733, 'kernel': 'rbf'}"
"{'n_estimators': 500, 'max_depth': 16, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'sqrt'}","{'n_estimators': 100, 'learning_rate': 0.011940495839830898, 'max_depth': 29, 'min_samples_split': 2, 'min_samples_leaf': 4}","{'n_estimators': 100, 'max_samples': 0.5158738147660608, 'max_features': 0.5626782962200945}","{'C': 0.1000196519935458, 'epsilon': 0.9994070111794531, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 31, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.010114719780631734, 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.6348176188722616, 'max_features': 0.6165420405863201}","{'C': 0.174435211344289, 'epsilon': 0.9999569316707554, 'kernel': 'rbf'}"
"{'n_estimators': 500, 'max_depth': 16, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.01001700232866735, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 5}","{'n_estimators': 100, 'max_samples': 0.5798953457494116, 'max_features': 0.5499321399465927}","{'C': 0.10007579065324988, 'epsilon': 0.9978754406500502, 'kernel': 'rbf'}"
