RandomForest,GradientBoosting,Bagging,SVR
"{'n_estimators': 100, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.01552397971677893, 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 2}","{'n_estimators': 100, 'max_samples': 0.8911710736258001, 'max_features': 0.5305382761030292}","{'C': 0.22819887153060478, 'epsilon': 0.504877318905925, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 24, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","{'n_estimators': 100, 'learning_rate': 0.010031144174648942, 'max_depth': 34, 'min_samples_split': 8, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.5643736314030068, 'max_features': 0.7310496002184211}","{'C': 0.12087410719613842, 'epsilon': 0.5311766650616283, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 22, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt'}","{'n_estimators': 100, 'learning_rate': 0.011481683201510802, 'max_depth': 41, 'min_samples_split': 7, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.733174720972285, 'max_features': 0.6377033957272078}","{'C': 2.513169335114775, 'epsilon': 0.5995558650157072, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.010472144687311622, 'max_depth': 34, 'min_samples_split': 8, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.7277106207096186, 'max_features': 0.8056563973518011}","{'C': 1.0124739570736727, 'epsilon': 0.7016663281816442, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 32, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt'}","{'n_estimators': 100, 'learning_rate': 0.010038570505754433, 'max_depth': 34, 'min_samples_split': 4, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.6088920308763115, 'max_features': 0.5481763537304004}","{'C': 0.40761153965732777, 'epsilon': 0.651677424673994, 'kernel': 'rbf'}"
