RandomForest,GradientBoosting,Bagging,SVR
"{'n_estimators': 100, 'max_depth': 47, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.010004146828745529, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 5}","{'n_estimators': 100, 'max_samples': 0.846057615896324, 'max_features': 0.9266615948087693}","{'C': 0.16867600846865524, 'epsilon': 0.6047423223923353, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 26, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt'}","{'n_estimators': 100, 'learning_rate': 0.010028076877856036, 'max_depth': 41, 'min_samples_split': 6, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.716438130322071, 'max_features': 0.5741300641026095}","{'C': 4.812641891200079, 'epsilon': 0.49497321274122286, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.011402979486165178, 'max_depth': 32, 'min_samples_split': 5, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.9115721039685837, 'max_features': 0.9062458633901461}","{'C': 0.17651122878243494, 'epsilon': 0.6074597443491921, 'kernel': 'rbf'}"
"{'n_estimators': 100, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}","{'n_estimators': 100, 'learning_rate': 0.010039683609111743, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 5}","{'n_estimators': 50, 'max_samples': 0.7127001487318835, 'max_features': 0.6298954838869838}","{'C': 0.10024021819856996, 'epsilon': 0.6617630937263591, 'kernel': 'rbf'}"
"{'n_estimators': 1000, 'max_depth': 18, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'log2'}","{'n_estimators': 100, 'learning_rate': 0.010042639778717832, 'max_depth': 19, 'min_samples_split': 7, 'min_samples_leaf': 5}","{'n_estimators': 100, 'max_samples': 0.5563749892031267, 'max_features': 0.5264856099238032}","{'C': 0.12685928072837854, 'epsilon': 0.5715966332444948, 'kernel': 'rbf'}"
